id,name,name_short,type,sex,branche,party,politician
109,Schutzgemeinschaft Filder,SGF ,2,,3,,
110,Hans Heydemann,Hans Heydemann,1,1,,,
111,Ingenieure22,Ingenieure22 ,2,,2,,
112,Dieter Reicherter ,Dieter Reicherter ,1,1,,,
113,KONTEXT: Wochenzeitung ,KONTEXT,2,,9,,
114,Judith Scheytt,Judith Scheytt,1,2,,,
115,Deutscher Gewerkschaftsbund ,DGB,2,,3,,
116,Nisha Toussaint ,Nisha Toussaint,1,2,,,
117,Tom Adler ,Tom Adler,1,1,,,
118,Bei Abriss Aufstand,BAA,2,,2,,
119,Winfried Wolf ,Winfried Wolf,1,1,,,
120,Bund für Umwelt und Naturschutz Deutschland ,BUND,2,,3,,
121,Klaus Gebhardt,Klaus Gebhardt ,1,1,,,
122,Deutscher Eisenbahnbundesverein,DEBV,2,,3,,
123,Hagen von Ortloff ,Hagen von Ortloff ,1,1,,,
124,Gewerkschaft der Polizei,GDP,2,,3,,
125,Peter Lenk ,Peter Lenk ,1,1,,,
126,Für K21,FK21,2,,3,,
127,Simon ,Simon,1,1,,,
128,Letzte Generation ,LetztGen ,2,,3,,
129,Christian List ,Christian List ,1,1,,,
130,Laufen für Stuttgart 21,Laufen für S21,2,,3,,
131,Steffen Kauderer,Steffen Kauderer,1,1,,,
132,Laufen gegen Stuttgart 21/Ausstieg jetzt ,Ausstieg jetzt,2,,3,,
133,Mahnwache ,Mahnwache ,2,,3,,
134,Arbeitsgruppe Umstieg ,Umstieg AG ,2,,3,,
135,Peter Müller,Peter Müller ,1,1,,,
136,Montagsdemonstation,Montagsdemo ,2,,3,,
137,Michael Kaufmann ,Michael Kaufmann ,1,1,,,
138,Badener gegen Stuttgart 21,Badener gegen S21,2,,3,,
139,Jürgen Resch ,Jürgen Resch ,1,1,,,
140,Deutsche Umwelthilfe ,Umwelthilfe,2,,3,,
141,Aktionsbündnis Gegen S21,,,,,,
142,Gewerkschafter gegen S21,,,,,,
143,ArchitektInnen für K21,,,,,,
144,Bündnis Bahn für alle,,,,,,
145,TheologInnen gegen S21,,,,,,
146,Klaus Riedel,Klaus Riedel,1,1,,SPD,T
147,SPD gegen S21,,,,,,
148,Peter Gürlich,Peter Gürlich ,1,1,,SPD,F
